time,Year,n_T,n_P1,n_P2,i_ILI,Week,season,pop,temp,ah,h3_inc,rhino_inc
29,2016,3783,206,149,0.00609999999999999,22,s15-16,7336600,0.7718189797570363,0.8819890348408026,0,0
30,2016,3806,166,177,0.0056,23,s15-16,7336600,1.1808299068660826,1.2937354430139167,0,0
31,2016,3304,133,141,0.0055,24,s15-16,7336600,0.7106064600536419,1.09062052474026,0,0
32,2016,3262,127,173,0.0045,25,s15-16,7336600,1.1084878381257066,1.395834083613144,0,0
33,2016,3455,75,128,0.0067,26,s15-16,7336600,1.2837782354581553,1.1328767086256843,0,0
34,2016,2982,75,153,0.0048,27,s15-16,7336600,1.21700094123627,1.2207461780069144,0,0
35,2016,3087,42,162,0.005,28,s15-16,7336600,1.1836122941253275,1.2341321788142796,0,0
36,2016,3236,45,150,0.0046,29,s15-16,7336600,1.0277986076075962,1.3196804828464734,0,0
37,2016,3206,53,193,0.00409999999999999,30,s15-16,7336600,1.214218553977025,1.1073174381659907,0,0
38,2016,3091,32,176,0.0039,31,s15-16,7336600,1.306037333532117,0.9910554188448808,0,0
39,2016,3035,37,182,0.0035,32,s15-16,7336600,0.9693684751634466,1.1787462034228795,0,0
40,2016,3045,20,164,0.0039,33,s15-16,7336600,0.9693684751634466,1.2748828118138746,0,0
41,2016,2845,29,142,0.0038,34,s15-16,7336600,0.7495598816830747,1.274870799208772,0,0
42,2016,3066,14,141,0.00409999999999999,35,s15-16,7336600,1.1363117107181593,0.9707665263399248,0,0
43,2016,3025,13,154,0.0036,36,s15-16,7336600,0.8497258230159019,0.9296747203127244,0,0
44,2016,3040,7,109,0.0046,37,s15-16,7336600,0.6438291658317571,1.1354984587407972,0,0
45,2016,3328,9,83,0.0064,38,s15-16,7336600,1.0250162203483506,0.7589458899755462,0,0
46,2016,3933,6,93,0.0056,39,s15-16,7336600,0.7857309160532627,0.4603505011677396,0,0
47,2016,3285,4,75,0.0047,40,s15-16,7336600,0.7273007836091131,0.6427254017129408,0,0
48,2016,3732,3,67,0.0053,41,s15-16,7336600,0.8636377593121283,0.728521174778332,0,0
49,2016,3359,1,43,0.00609999999999999,42,s15-16,7336600,0.3266370182778028,0.07136751590236953,0,0
50,2016,3105,0,62,0.004,43,s15-16,7336600,0.5770518716098716,0.8445276020515183,0,0
51,2016,3364,1,40,0.0047,44,s15-16,7336600,0.730083170868358,0.704309310059354,0,0
52,2016,3286,1,16,0.0057,45,s15-16,7336600,-0.1380216540161475,-0.5815756759751007,0,0
1,2016,3413,16,86,0.0048,46,s16-17,7391700,-0.41347799268142343,-0.3196432012573205,0,0
